init_eps,min_eps,decay,alpha,gamma,rolling_mean,total_mean,total_std,percent_above_1.5,last_10_mean,last_10_std,rounds_to_stabilize
0.2,0.01,0.9,0.1,0.0,[0.98 0.99 0.99 ... 1.07 1.07 1.03],1.0134,0.2764424714113227,0.0045,1.018,0.31886674332705195,
0.2,0.01,0.9,0.1,0.9,[0.99 0.99 0.99 ... 1.   1.   1.  ],1.0195,0.31324072212916376,0.0059,1.016,0.28938555596297477,
0.2,0.01,0.9,0.1,0.99,[0.98 0.98 0.98 ... 1.   1.   1.  ],1.0128,0.2811337048452214,0.0046,1.02,0.3155946767611901,
0.2,0.01,0.9,0.01,0.0,[1.07 1.07 1.07 ... 1.   1.   1.  ],1.0108,0.25900455594448524,0.0039,1.01,0.2643860813280457,
0.2,0.01,0.9,0.01,0.9,[0.96 0.96 0.96 ... 1.   1.   1.  ],1.0159,0.2997452084687926,0.0053,1.011,0.22108595613471246,
0.2,0.01,0.9,0.01,0.99,[1.01 1.01 1.01 ... 1.   1.   1.  ],1.016,0.2972271858360201,0.0053,1.02,0.3155946767611901,
0.2,0.01,0.9,0.001,0.0,[0.99 0.99 0.99 ... 1.   1.   1.  ],1.0168,0.29140652017413754,0.0051,1.012,0.260491842482639,
0.2,0.01,0.9,0.001,0.9,[1.04 1.04 1.04 ... 0.99 0.99 0.99],1.0139,0.27911787832383655,0.0046,1.007,0.23011084285622008,
0.2,0.01,0.9,0.001,0.99,[1.1 1.1 1.1 ... 1.  1.  1. ],1.0106,0.2555144614302681,0.0038,1.012,0.260491842482639,
0.2,0.01,0.5,0.1,0.0,[1.04 1.04 1.04 ... 0.99 0.99 0.99],1.0038,0.17373992057094992,0.0017,1.0,0.1414213562373095,
0.2,0.01,0.5,0.1,0.9,[1.   1.   1.   ... 1.08 1.08 1.08],1.0073,0.2159784942997798,0.0027,1.019,0.28397006884529225,
0.2,0.01,0.5,0.1,0.99,[1.   1.   1.   ... 0.98 0.98 0.98],1.007,0.21668179434368734,0.0027,0.992,0.08908422980528034,
0.2,0.01,0.5,0.01,0.0,[1.03 1.03 1.03 ... 1.   1.   1.  ],1.0121,0.24031976614502598,0.0035,1.002,0.13414917070187204,
0.2,0.01,0.5,0.01,0.9,[1.04 1.04 1.04 ... 1.   1.   1.  ],1.0111,0.24652949113645614,0.0036,1.006,0.18429324458590443,
0.2,0.01,0.5,0.01,0.99,[1.   1.   1.   ... 1.04 1.04 1.04],1.0082,0.20912379109034915,0.0026,1.014,0.2565229034608801,
0.2,0.01,0.5,0.001,0.0,[1.04 1.04 1.04 ... 1.   1.   1.  ],1.0092,0.22520071047845303,0.003,1.002,0.1949256268426499,
0.2,0.01,0.5,0.001,0.9,[1.04 1.04 1.04 ... 1.04 1.04 1.04],1.0122,0.25229181516648536,0.0038,1.011,0.26244809010545306,
0.2,0.01,0.5,0.001,0.99,[1. 1. 1. ... 1. 1. 1.],1.0087,0.2173115505443739,0.0028,1.012,0.260491842482639,
